Cat,Fips Cntry,Cntry Name,Area,Pop Cntry,latitude,longitude
1.0,AA,Aruba,193.0,71218.0,12.5211095,-69.968338
2.0,AC,Antigua and Barbuda,443.0,68320.0,17.632776,-61.802227
2.0,AC,Antigua and Barbuda,443.0,68320.0,17.07847,-61.778751
3.0,AF,Afghanistan,647500.0,28513677.0,33.93911,67.7099535
4.0,AG,Algeria,2381740.0,32129324.0,28.033886,1.659626
5.0,AJ,Azerbaijan,86600.0,7868385.0,39.310566,45.478554
5.0,AJ,Azerbaijan,86600.0,7868385.0,41.0598545,45.0197145
5.0,AJ,Azerbaijan,86600.0,7868385.0,40.986931,45.220129
5.0,AJ,Azerbaijan,86600.0,7868385.0,40.143105,47.698967
6.0,AL,Albania,28748.0,3544808.0,41.153332,20.168331
7.0,AM,Armenia,29800.0,2991360.0,40.069099,45.038189
7.0,AM,Armenia,29800.0,2991360.0,40.6358185,45.5401345
8.0,AN,Andorra,468.0,69865.0,42.5462455,1.6015545
9.0,AO,Angola,1246700.0,10978552.0,-5.0787735,12.554999
9.0,AO,Angola,1246700.0,10978552.0,-16.670002,11.719166
9.0,AO,Angola,1246700.0,10978552.0,-11.926113,17.907776
10.0,AQ,American Samoa,199.0,57902.0,-14.1788895,-169.6333465
10.0,AQ,American Samoa,199.0,57902.0,-14.314167,-170.6930695
10.0,AQ,American Samoa,199.0,57902.0,-14.1791665,-169.6769565
10.0,AQ,American Samoa,199.0,57902.0,-14.25153,-169.4877775
10.0,AQ,American Samoa,199.0,57902.0,-14.290557,-170.548752
11.0,AR,Argentina,2766890.0,39144753.0,-54.810421,-64.284729
11.0,AR,Argentina,2766890.0,39144753.0,-37.080957,-63.6166725
11.0,AR,Argentina,2766890.0,39144753.0,-53.846592,-66.886948
11.0,AR,Argentina,2766890.0,39144753.0,-54.8480835,-68.600174
11.0,AR,Argentina,2766890.0,39144753.0,-39.1648635,-61.9790305
11.0,AR,Argentina,2766890.0,39144753.0,-39.0350035,-62.047783
12.0,AS,Australia,7686850.0,19913144.0,-42.188053,146.491623
12.0,AS,Australia,7686850.0,19913144.0,-11.549167,130.9519195
12.0,AS,Australia,7686850.0,19913144.0,-11.581111,130.3267975
12.0,AS,Australia,7686850.0,19913144.0,-11.502084,133.4488675
12.0,AS,Australia,7686850.0,19913144.0,-11.578472,136.330948
12.0,AS,Australia,7686850.0,19913144.0,-11.626528,133.4191285
12.0,AS,Australia,7686850.0,19913144.0,-11.6795835,132.575546
12.0,AS,Australia,7686850.0,19913144.0,-11.6866665,136.0053865
12.0,AS,Australia,7686850.0,19913144.0,-11.774583,136.571625
12.0,AS,Australia,7686850.0,19913144.0,-11.8575,136.481644
12.0,AS,Australia,7686850.0,19913144.0,-11.930278,135.087753
12.0,AS,Australia,7686850.0,19913144.0,-12.029722,136.237625
12.0,AS,Australia,7686850.0,19913144.0,-12.0365285,134.9503935
12.0,AS,Australia,7686850.0,19913144.0,-12.0901385,134.899414
12.0,AS,Australia,7686850.0,19913144.0,-12.104584,132.378586
12.0,AS,Australia,7686850.0,19913144.0,-12.1065285,136.816086
12.0,AS,Australia,7686850.0,19913144.0,-13.446112,136.1373295
12.0,AS,Australia,7686850.0,19913144.0,-13.974862,136.6762085
12.0,AS,Australia,7686850.0,19913144.0,-13.7622225,136.197052
12.0,AS,Australia,7686850.0,19913144.0,-14.8765265,129.5471955
12.0,AS,Australia,7686850.0,19913144.0,-14.841528,129.6069335
12.0,AS,Australia,7686850.0,19913144.0,-14.8713885,135.736084
12.0,AS,Australia,7686850.0,19913144.0,-15.568612,136.858856
12.0,AS,Australia,7686850.0,19913144.0,-15.578612,136.5545345
12.0,AS,Australia,7686850.0,19913144.0,-15.7106945,137.0139925
12.0,AS,Australia,7686850.0,19913144.0,-15.699445,136.7791295
12.0,AS,Australia,7686850.0,19913144.0,-15.724723,136.66275
12.0,AS,Australia,7686850.0,19913144.0,-10.120973,142.142746
12.0,AS,Australia,7686850.0,19913144.0,-10.2004175,142.2646945
12.0,AS,Australia,7686850.0,19913144.0,-10.5315285,142.3108065
12.0,AS,Australia,7686850.0,19913144.0,-10.5518055,142.217041
12.0,AS,Australia,7686850.0,19913144.0,-10.610973,142.2855225
12.0,AS,Australia,7686850.0,19913144.0,-10.690278,142.190521
12.0,AS,Australia,7686850.0,19913144.0,-16.5873605,139.4382935
12.0,AS,Australia,7686850.0,19913144.0,-16.835556,139.1233065
12.0,AS,Australia,7686850.0,19913144.0,-17.0713885,139.4874725
12.0,AS,Australia,7686850.0,19913144.0,-18.369444,146.2187195
12.0,AS,Australia,7686850.0,19913144.0,-19.143055,146.8252415
12.0,AS,Australia,7686850.0,19913144.0,-20.0086115,148.4640045
12.0,AS,Australia,7686850.0,19913144.0,-20.114027,148.9296875
12.0,AS,Australia,7686850.0,19913144.0,-20.242777,148.996506
12.0,AS,Australia,7686850.0,19913144.0,-20.5073605,149.05957
12.0,AS,Australia,7686850.0,19913144.0,-21.663748,150.274826
12.0,AS,Australia,7686850.0,19913144.0,-21.754721,150.327881
12.0,AS,Australia,7686850.0,19913144.0,-22.138889,149.8983005
12.0,AS,Australia,7686850.0,19913144.0,-22.2840275,150.5092775
12.0,AS,Australia,7686850.0,19913144.0,-22.389862,149.7359465
12.0,AS,Australia,7686850.0,19913144.0,-23.1744445,150.969559
12.0,AS,Australia,7686850.0,19913144.0,-23.6165275,151.1588745
12.0,AS,Australia,7686850.0,19913144.0,-23.8183345,151.353729
12.0,AS,Australia,7686850.0,19913144.0,-25.2498605,153.1566315
12.0,AS,Australia,7686850.0,19913144.0,-25.307085,152.977753
12.0,AS,Australia,7686850.0,19913144.0,-27.190279,153.4112245
12.0,AS,Australia,7686850.0,19913144.0,-27.5693055,153.4663695
12.0,AS,Australia,7686850.0,19913144.0,-32.2816695,133.6049805
12.0,AS,Australia,7686850.0,19913144.0,-33.7387505,134.5101165
12.0,AS,Australia,7686850.0,19913144.0,-34.509724,137.3555145
12.0,AS,Australia,7686850.0,19913144.0,-35.009304,136.145523
12.0,AS,Australia,7686850.0,19913144.0,-35.15778,136.4648285
12.0,AS,Australia,7686850.0,19913144.0,-35.837635,137.3230285
12.0,AS,Australia,7686850.0,19913144.0,-39.457779,147.3026125
12.0,AS,Australia,7686850.0,19913144.0,-39.4740255,147.342041
12.0,AS,Australia,7686850.0,19913144.0,-39.8548625,143.9910885
12.0,AS,Australia,7686850.0,19913144.0,-40.0,148.0467835
12.0,AS,Australia,7686850.0,19913144.0,-40.4038885,148.2370455
12.0,AS,Australia,7686850.0,19913144.0,-40.4259685,144.8983005
12.0,AS,Australia,7686850.0,19913144.0,-40.5036085,144.7539975
12.0,AS,Australia,7686850.0,19913144.0,-40.548748,148.161209
12.0,AS,Australia,7686850.0,19913144.0,-11.237083,136.6385805
12.0,AS,Australia,7686850.0,19913144.0,-11.183612,132.56427
12.0,AS,Australia,7686850.0,19913144.0,-42.3281975,148.2859345
12.0,AS,Australia,7686850.0,19913144.0,-42.6693075,148.091644
12.0,AS,Australia,7686850.0,19913144.0,-43.168339,147.362335
12.0,AS,Australia,7686850.0,19913144.0,-43.387642,147.243988
12.0,AS,Australia,7686850.0,19913144.0,-31.5608325,159.0734405
12.0,AS,Australia,7686850.0,19913144.0,-38.3640325,145.384552
12.0,AS,Australia,7686850.0,19913144.0,-38.5111125,145.238861
12.0,AS,Australia,7686850.0,19913144.0,-38.7716675,146.564972
12.0,AS,Australia,7686850.0,19913144.0,-13.890972,126.5554085
12.0,AS,Australia,7686850.0,19913144.0,-14.5434725,125.1469345
12.0,AS,Australia,7686850.0,19913144.0,-14.9548605,128.3939975
12.0,AS,Australia,7686850.0,19913144.0,-14.9865285,124.902622
12.0,AS,Australia,7686850.0,19913144.0,-15.115556,128.155792
12.0,AS,Australia,7686850.0,19913144.0,-15.2612495,124.8217965
12.0,AS,Australia,7686850.0,19913144.0,-15.2866665,124.3930435
12.0,AS,Australia,7686850.0,19913144.0,-15.352639,124.553879
12.0,AS,Australia,7686850.0,19913144.0,-20.774027,115.381092
12.0,AS,Australia,7686850.0,19913144.0,-24.8779165,113.135128
12.0,AS,Australia,7686850.0,19913144.0,-25.1879175,113.0755345
12.0,AS,Australia,7686850.0,19913144.0,-25.815832,113.0674895
12.0,AS,Australia,7686850.0,19913144.0,-32.198193,115.663052
12.0,AS,Australia,7686850.0,19913144.0,-34.101246,123.192486
12.0,AS,Australia,7686850.0,19913144.0,-34.1359745,122.2399865
12.0,AS,Australia,7686850.0,19913144.0,-34.92083,118.453598
12.0,AS,Australia,7686850.0,19913144.0,-24.9269455,133.4249725
12.0,AS,Australia,7686850.0,19913144.0,-40.6723595,144.9406585
12.0,AS,Australia,7686850.0,19913144.0,-54.6143035,158.896072
13.0,AU,Austria,83858.0,8174762.0,47.7131885,13.3499775
14.0,AV,Anguilla,102.0,13008.0,18.2205545,-63.068615
15.0,AY,Antarctica,1.0,1.0,-76.6248625,-147.665573
15.0,AY,Antarctica,1.0,1.0,-61.179588,-54.1033365
15.0,AY,Antarctica,1.0,1.0,-62.065422,-58.2865295
15.0,AY,Antarctica,1.0,1.0,-62.2922245,-59.0125045
15.0,AY,Antarctica,1.0,1.0,-62.3875045,-59.5015295
15.0,AY,Antarctica,1.0,1.0,-62.496811,-59.7608375
15.0,AY,Antarctica,1.0,1.0,-62.6047285,-60.4947245
15.0,AY,Antarctica,1.0,1.0,-62.7558365,-61.314865
15.0,AY,Antarctica,1.0,1.0,-62.9872285,-62.4950025
15.0,AY,Antarctica,1.0,1.0,-62.9429535,-60.6056785
15.0,AY,Antarctica,1.0,1.0,-63.074585,-56.2788925
15.0,AY,Antarctica,1.0,1.0,-63.277088,-55.772644
15.0,AY,Antarctica,1.0,1.0,-63.2729185,-62.103199
15.0,AY,Antarctica,1.0,1.0,-63.4818075,-55.9581985
15.0,AY,Antarctica,1.0,1.0,-63.7563935,-60.7075045
15.0,AY,Antarctica,1.0,1.0,-63.8370895,-57.370144
15.0,AY,Antarctica,1.0,1.0,-64.120281,-57.7329215
15.0,AY,Antarctica,1.0,1.0,-64.2679215,-62.3582
15.0,AY,Antarctica,1.0,1.0,-64.2631985,-56.7168125
15.0,AY,Antarctica,1.0,1.0,-64.5394515,-63.490425
15.0,AY,Antarctica,1.0,1.0,-64.444313,-57.17181
15.0,AY,Antarctica,1.0,1.0,-64.8175125,-63.3300015
15.0,AY,Antarctica,1.0,1.0,-65.1708375,-59.603752
15.0,AY,Antarctica,1.0,1.0,-65.292801,103.122677
15.0,AY,Antarctica,1.0,1.0,-65.5347365,100.7519875
15.0,AY,Antarctica,1.0,1.0,-65.693199,-65.8794555
15.0,AY,Antarctica,1.0,1.0,-65.7398755,92.5155945
15.0,AY,Antarctica,1.0,1.0,-65.829315,100.8530885
15.0,AY,Antarctica,1.0,1.0,-65.986122,100.904053
15.0,AY,Antarctica,1.0,1.0,-66.0121,100.807827
15.0,AY,Antarctica,1.0,1.0,-66.0972365,100.6243285
15.0,AY,Antarctica,1.0,1.0,-66.198898,-66.679031
15.0,AY,Antarctica,1.0,1.0,-66.1791915,96.572945
15.0,AY,Antarctica,1.0,1.0,-66.159309,100.285187
15.0,AY,Antarctica,1.0,1.0,-66.3015365,162.447937
15.0,AY,Antarctica,1.0,1.0,-66.424324,97.2205965
15.0,AY,Antarctica,1.0,1.0,-66.457649,98.731262
15.0,AY,Antarctica,1.0,1.0,-66.5736235,85.275299
15.0,AY,Antarctica,1.0,1.0,-66.66127,163.0426485
15.0,AY,Antarctica,1.0,1.0,-66.665985,99.3711545
15.0,AY,Antarctica,1.0,1.0,-67.184731,-68.4068145
15.0,AY,Antarctica,1.0,1.0,-66.714737,86.5167085
15.0,AY,Antarctica,1.0,1.0,-66.8628005,85.7810135
15.0,AY,Antarctica,1.0,1.0,-66.8204345,48.5677185
15.0,AY,Antarctica,1.0,1.0,-67.0907135,50.238556
15.0,AY,Antarctica,1.0,1.0,-67.1120985,58.822262
15.0,AY,Antarctica,1.0,1.0,-67.117096,58.6000595
15.0,AY,Antarctica,1.0,1.0,-67.426254,164.7187655
15.0,AY,Antarctica,1.0,1.0,-67.311119,59.3428615
15.0,AY,Antarctica,1.0,1.0,-67.581535,47.652954
15.0,AY,Antarctica,1.0,1.0,-67.7040325,-67.4497295
15.0,AY,Antarctica,1.0,1.0,-68.7040405,-60.8840335
15.0,AY,Antarctica,1.0,1.0,-70.74807,-71.784035
15.0,AY,Antarctica,1.0,1.0,-68.847511,-90.6148685
15.0,AY,Antarctica,1.0,1.0,-68.820976,-63.5205615
15.0,AY,Antarctica,1.0,1.0,-68.9860535,155.132797
15.0,AY,Antarctica,1.0,1.0,-69.073341,155.716675
15.0,AY,Antarctica,1.0,1.0,-69.4100035,-62.057087
15.0,AY,Antarctica,1.0,1.0,-69.6240385,-72.495148
15.0,AY,Antarctica,1.0,1.0,-69.6552965,38.156471
15.0,AY,Antarctica,1.0,1.0,-69.995422,-75.1569515
15.0,AY,Antarctica,1.0,1.0,-70.017372,15.8620225
15.0,AY,Antarctica,1.0,1.0,-69.9623645,-61.4072265
15.0,AY,Antarctica,1.0,1.0,-70.1141815,12.8507615
15.0,AY,Antarctica,1.0,1.0,-70.1983415,-1.873889
15.0,AY,Antarctica,1.0,1.0,-70.440445,71.986282
15.0,AY,Antarctica,1.0,1.0,-70.392784,-2.9869445
15.0,AY,Antarctica,1.0,1.0,-70.36071,163.392929
15.0,AY,Antarctica,1.0,1.0,-70.511253,2.97122
15.0,AY,Antarctica,1.0,1.0,-70.492508,-6.1462505
15.0,AY,Antarctica,1.0,1.0,-70.564865,-60.88945
15.0,AY,Antarctica,1.0,1.0,-70.6455685,2.057036
